time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-09T22:43:16.250Z,19.2066669,-155.4676666,35.63,2.39,md,51,98,0.05096,0.13,hv,hv71377152,2020-02-09T22:46:46.130Z,"1km E of Pahala, Hawaii",earthquake,0.5,0.71,0.2,25,automatic,hv,hv
2020-02-09T22:22:49.470Z,19.1639996,-155.4429932,36.68,2.32,md,21,211,0.08482,0.2,hv,hv71377127,2020-02-09T22:26:02.960Z,"6km SE of Pahala, Hawaii",earthquake,1.83,1.54,0.15,3,automatic,hv,hv
2020-02-09T21:58:33.350Z,19.2248325,-155.4223328,32.98,2.16,md,51,132,0.02663,0.12,hv,hv71377117,2020-02-09T22:02:00.920Z,"6km ENE of Pahala, Hawaii",earthquake,0.55,0.65,0.11,25,automatic,hv,hv
2020-02-09T21:47:01.500Z,33.604,-116.8053333,5.29,0.34,ml,14,77,0.03592,0.11,ci,ci39297312,2020-02-09T21:50:38.050Z,"13km WNW of Anza, CA",earthquake,0.27,0.84,0.081,5,automatic,ci,ci
2020-02-09T21:39:14.140Z,17.8498,-66.8841,10,3.33,md,11,237,0.1254,0.14,pr,pr2020040043,2020-02-10T00:59:21.932Z,"22km S of Guanica, Puerto Rico",earthquake,0.78,0.61,0.09,7,reviewed,pr,pr
2020-02-09T21:39:14.140Z,17.8498,-66.8841,10,3.33,md,11,237,0.1254,0.14,pr,pr2020040258,2020-02-09T23:38:58.252Z,"13km S of Guanica, Puerto Rico",earthquake,0.78,0.61,0.09,7,reviewed,pr,pr
2020-02-09T21:36:20.270Z,17.8328,-66.8676,2,2.44,md,10,250,0.1428,0.11,pr,pr2020040044,2020-02-09T22:07:20.532Z,"15km SSE of Guanica, Puerto Rico",earthquake,0.67,0.54,0.31,2,reviewed,pr,pr
2020-02-09T21:33:43.950Z,37.6333351,-118.8593369,7.5,1.22,md,9,99,0.0146,0.02,nc,nc73337761,2020-02-09T22:30:03.847Z,"10km E of Mammoth Lakes, CA",earthquake,0.96,1.7,0.22,9,automatic,nc,nc
2020-02-09T21:16:52.600Z,19.1595001,-155.4668274,34.38,2.16,md,43,160,0.09349,0.12,hv,hv71377057,2020-02-09T21:19:59.770Z,"5km SSE of Pahala, Hawaii",earthquake,0.65,0.8,0.2,15,automatic,hv,hv
2020-02-09T21:07:56.893Z,63.4147,-151.4536,2.8,1.1,ml,,,,0.48,ak,ak0201ui1lux,2020-02-09T21:11:09.848Z,"125km W of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-02-09T21:05:47.240Z,17.7761,-66.881,3,2.69,md,12,248,0.199,0.35,pr,pr2020040041,2020-02-09T21:17:21.410Z,"21km S of Guanica, Puerto Rico",earthquake,1.49,1.3,0.15,7,reviewed,pr,pr
2020-02-09T21:02:11.620Z,62.6438,-150.5561,10.7,1.4,ml,,,,0.44,ak,ak0201ui0fs9,2020-02-09T21:06:58.669Z,"42km NNW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-02-09T20:51:56.620Z,17.7778,-66.8915,4,2.74,md,12,249,0.1977,0.27,pr,pr2020040042,2020-02-09T21:25:58.536Z,"35km S of Guanica, Puerto Rico",earthquake,1.05,0.81,0.28,8,reviewed,pr,pr
2020-02-09T20:42:05.890Z,17.9535,-66.8968,14,2.35,md,11,208,0.0279,0.31,pr,pr2020040040,2020-02-09T20:58:28.867Z,"2km SSE of Guanica, Puerto Rico",earthquake,1.6,0.77,0.51,6,reviewed,pr,pr
2020-02-09T20:33:28.898Z,-2.1553,-79.4258,118.3,4.6,mb,,143,2.569,0.88,us,us70007m82,2020-02-10T01:10:46.228Z,"5km NNW of Coronel Marcelino Mariduena, Ecuador",earthquake,11.5,6,0.096,32,reviewed,us,us
2020-02-09T20:18:59.150Z,19.1938324,-155.469162,34.42,2.13,md,47,96,0.03879,0.11,hv,hv71376997,2020-02-09T20:22:17.450Z,"1km SE of Pahala, Hawaii",earthquake,0.58,0.67,0.07,11,automatic,hv,hv
2020-02-09T20:18:07.190Z,19.36,-65.6981,29,3.7,md,16,217,1.1195,0.49,pr,pr2020040039,2020-02-09T20:56:18.040Z,"96km N of Vieques, Puerto Rico",earthquake,2.84,32.119,0.13,9,reviewed,pr,pr
2020-02-09T20:05:58.520Z,19.1873341,-155.4660034,33.52,1.76,md,46,101,0.03197,0.13,hv,hv71376987,2020-02-09T20:09:11.630Z,"2km SE of Pahala, Hawaii",earthquake,0.75,0.89,0.18,4,automatic,hv,hv
2020-02-09T20:04:05.750Z,17.9531,-67.0058,7,2.95,md,12,220,0.1167,0.12,pr,pr2020040038,2020-02-10T00:00:02.262Z,"8km SSE of La Parguera, Puerto Rico",earthquake,1.32,0.65,0.42,7,reviewed,pr,pr
2020-02-09T20:02:56.250Z,32.8966667,-115.5393333,4.84,1.29,ml,13,94,0.01861,0.26,ci,ci39297304,2020-02-09T20:06:36.202Z,"6km NNE of Imperial, CA",earthquake,0.75,1.04,0.213,16,automatic,ci,ci
2020-02-09T19:55:48.030Z,33.5935,-116.812,4.95,1.05,ml,38,33,0.03998,0.21,ci,ci39297296,2020-02-09T19:59:31.733Z,"14km WNW of Anza, CA",earthquake,0.24,1.06,0.098,25,automatic,ci,ci
2020-02-09T19:49:08.978Z,35.26819992,-97.85549927,5.620481014,1.9,ml,14,107.6868515,0.0870538801,1.028271846,ok,ok2020cutw,2020-02-09T19:51:23.912Z,"4km WSW of Tuttle, Oklahoma",earthquake,3.325766636,4.742596194,,11,automatic,ok,ok
2020-02-09T19:10:46.865Z,20.5591,93.8602,50.35,4.6,mb,,67,2.086,1.09,us,us70007m6d,2020-02-09T21:00:38.040Z,"105km WSW of Chauk, Burma",earthquake,8.7,6.7,0.122,20,reviewed,us,us
2020-02-09T18:53:00.140Z,39.4008331,-123.2898331,3.44,1.55,md,8,117,0.07741,0.02,nc,nc73337716,2020-02-09T19:59:02.908Z,"6km E of Willits, CA",earthquake,0.34,2.4,0.12,5,automatic,nc,nc
2020-02-09T18:52:48.280Z,19.1989994,-155.4075012,32.28,2.29,md,16,206,0.1352,0.13,hv,hv71376907,2020-02-09T18:56:02.930Z,"7km E of Pahala, Hawaii",earthquake,1,1.25,0.07,3,automatic,hv,hv
2020-02-09T18:28:09.306Z,58.6146,-154.2754,7.6,1.9,ml,,,,0.81,ak,ak0201ugdpf1,2020-02-09T18:37:40.680Z,"120km N of Larsen Bay, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-02-09T18:27:40.130Z,19.2038326,-155.4214935,33.07,1.87,md,42,152,0.04045,0.11,hv,hv71376892,2020-02-09T18:30:49.900Z,"6km E of Pahala, Hawaii",earthquake,0.57,0.72,0.04,5,automatic,hv,hv
2020-02-09T18:26:35.020Z,17.7653,-66.9051,2,1.77,ml,11,252,0.2114,0.22,pr,pr2020040037,2020-02-09T19:59:59.527Z,"22km S of Guanica, Puerto Rico",earthquake,1.21,0.99,0,0,reviewed,pr,pr
2020-02-09T18:19:26.920Z,35.5295,-117.3728333,3.17,2.42,ml,24,75,0.008154,0.17,ci,ci39297288,2020-02-09T18:30:24.680Z,"26km S of Trona, CA",earthquake,0.3,0.56,0.17,25,automatic,ci,ci
2020-02-09T18:10:07.530Z,19.2193336,-155.4228363,32.71,2.25,md,51,135,0.03,0.13,hv,hv71376872,2020-02-09T18:13:17.870Z,"6km ENE of Pahala, Hawaii",earthquake,0.52,0.68,0.18,19,automatic,hv,hv
2020-02-09T17:56:55.800Z,19.1913338,-155.4636688,34.1,2.17,md,37,151,0.06583,0.12,hv,hv71376862,2020-02-09T17:59:55.720Z,"2km SE of Pahala, Hawaii",earthquake,0.59,0.78,0.07,11,automatic,hv,hv
2020-02-09T17:44:34.560Z,17.9621,-66.8491,14,2.59,md,12,204,0.0328,0.27,pr,pr2020040036,2020-02-09T20:02:51.139Z,"4km SW of Indios, Puerto Rico",earthquake,1.08,0.83,0.35,7,reviewed,pr,pr
2020-02-09T17:40:26.810Z,17.8368,-66.868,8,2.97,md,11,239,0.1387,0.06,pr,pr2020040034,2020-02-09T20:01:01.905Z,"20km SSE of Guanica, Puerto Rico",earthquake,0.6,0.91,0.34,6,reviewed,pr,pr
2020-02-09T17:08:07.210Z,17.9238,-67.0076,9,3.35,md,11,239,0.1312,0.08,pr,pr2020040033,2020-02-10T01:10:50.885Z,"7km SE of La Parguera, Puerto Rico",earthquake,0.88,0.67,0.29,6,reviewed,pr,pr
2020-02-09T17:01:28.020Z,38.8081665,-122.8259964,2.02,1.75,md,22,66,0.002583,0.03,nc,nc73337686,2020-02-09T17:33:05.034Z,"7km WNW of The Geysers, CA",earthquake,0.23,0.4,0.13,5,automatic,nc,nc
2020-02-09T16:56:35.270Z,19.1846676,-155.404007,32.23,1.85,md,22,210,0.149,0.11,hv,hv71376792,2020-02-09T16:59:40.350Z,"8km ESE of Pahala, Hawaii",earthquake,0.74,0.94,,3,automatic,hv,hv
2020-02-09T16:42:24.140Z,17.8511,-66.8685,11,2.76,md,11,235,0.1245,0.11,pr,pr2020040035,2020-02-09T20:05:35.040Z,"21km S of Guanica, Puerto Rico",earthquake,0.85,0.6,0.26,6,reviewed,pr,pr
2020-02-09T16:26:38.150Z,37.5924988,-119.0139999,2.1,1.12,md,12,202,0.02077,0.01,nc,nc73337676,2020-02-09T16:57:03.816Z,"6km SSW of Mammoth Lakes, CA",earthquake,0.46,0.81,0.16,11,automatic,nc,nc
2020-02-09T16:20:59.530Z,19.2211666,-155.4023285,32.23,2.12,md,49,146,0.01688,0.11,hv,hv71376742,2020-02-09T16:24:11.240Z,"8km ENE of Pahala, Hawaii",earthquake,0.59,0.63,0.13,9,automatic,hv,hv
2020-02-09T16:10:20.100Z,19.1889992,-155.4734955,35.06,1.9,md,31,154,0.06379,0.11,hv,hv71376727,2020-02-09T16:13:28.090Z,"1km SSE of Pahala, Hawaii",earthquake,0.68,0.67,0.19,7,automatic,hv,hv
2020-02-09T16:10:16.663Z,4.877,126.8661,96.19,4.6,mb,,77,2.526,0.59,us,us70007m3w,2020-02-09T20:04:15.040Z,"166km ESE of Sarangani, Philippines",earthquake,9.4,2.2,0.092,35,reviewed,us,us
2020-02-09T16:05:55.407Z,61.4738,-146.5635,8.4,1.8,ml,,,,1.38,ak,ak0201uf20ac,2020-02-09T16:09:50.869Z,"39km NNW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-02-09T15:58:28.056Z,60.9245,-141.313,0.1,2.8,ml,,,,1.03,ak,ak0201uervfk,2020-02-09T20:02:40.040Z,"123km NNE of Cape Yakataga, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-02-09T15:55:29.167Z,61.3405,-150.1055,38.3,1.5,ml,,,,0.89,ak,ak0201uer8gk,2020-02-09T16:04:28.638Z,"17km NW of Anchorage, Alaska",earthquake,,2,,,automatic,ak,ak
2020-02-09T15:53:46.420Z,34.0446667,-116.9898333,12.47,0.97,ml,31,69,0.04134,0.19,ci,ci39297256,2020-02-09T16:48:09.035Z,"5km ENE of Yucaipa, CA",earthquake,0.29,0.68,0.179,30,reviewed,ci,ci
2020-02-09T15:49:19.690Z,33.5015,-116.4896667,11.53,0.66,ml,16,52,0.06566,0.21,ci,ci39297240,2020-02-09T15:53:05.847Z,"18km ESE of Anza, CA",earthquake,0.41,0.91,0.157,9,automatic,ci,ci
2020-02-09T15:14:45.770Z,35.6503333,-117.4986667,12.32,2.13,ml,20,127,0.1661,0.16,ci,ci39297232,2020-02-09T16:33:17.103Z,"16km SSW of Searles Valley, CA",earthquake,0.4,0.96,0.181,25,reviewed,ci,ci
2020-02-09T15:11:47.910Z,17.8923,-66.7891,7,2.58,md,10,221,0.1224,0.16,pr,pr2020040032,2020-02-09T16:20:05.481Z,"11km SSE of Indios, Puerto Rico",earthquake,0.85,1.12,0.26,5,reviewed,pr,pr
2020-02-09T15:09:18.315Z,-2.9669,129.8887,10,4.4,mb,,66,2.357,0.65,us,us70007m3d,2020-02-09T15:48:04.040Z,"115km ENE of Amahai, Indonesia",earthquake,6,1.9,0.126,18,reviewed,us,us
2020-02-09T15:04:53.830Z,19.2000008,-155.4593353,35.83,2.14,md,49,115,0.04443,0.1,hv,hv71376692,2020-02-09T15:07:59.840Z,"2km ESE of Pahala, Hawaii",earthquake,0.55,0.65,0.06,4,automatic,hv,hv
2020-02-09T14:58:45.194Z,59.5207,-152.8579,97.9,1.8,ml,,,,0.16,ak,ak0201ue6hai,2020-02-09T15:05:07.187Z,"64km WSW of Anchor Point, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-02-09T14:53:03.640Z,17.8871,-66.8038,12,2.91,md,11,223,0.1159,0.16,pr,pr2020040031,2020-02-09T22:55:41.964Z,"11km SSE of Indios, Puerto Rico",earthquake,1,0.5,0.32,6,reviewed,pr,pr
2020-02-09T14:52:56.950Z,19.2323341,-155.4570007,32.55,2.01,md,46,100,0.04276,0.13,hv,hv71376682,2020-02-09T14:56:06.680Z,"3km NE of Pahala, Hawaii",earthquake,0.42,0.65,0.16,5,automatic,hv,hv
2020-02-09T14:51:20.490Z,19.2068329,-155.4031677,32.22,1.78,md,44,162,0.03098,0.13,hv,hv71376677,2020-02-09T14:54:39.850Z,"8km E of Pahala, Hawaii",earthquake,0.54,0.76,0.16,7,automatic,hv,hv
2020-02-09T14:47:52.960Z,19.1665001,-155.4611664,35.35,2.09,md,24,208,0.08894,0.21,hv,hv71376672,2020-02-09T14:51:15.920Z,"4km SSE of Pahala, Hawaii",earthquake,1.23,2.06,0.2,6,automatic,hv,hv
2020-02-09T14:37:25.978Z,62.2035,-150.714,57.2,1.6,ml,,,,0.68,ak,ak0201ue1xq0,2020-02-09T14:41:01.403Z,"34km WSW of Talkeetna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-02-09T14:34:11.930Z,19.1628342,-155.4478302,30.3,2.38,md,44,169,0.01539,0.1,hv,hv71376662,2020-02-09T14:37:22.650Z,"5km SE of Pahala, Hawaii",earthquake,0.61,0.73,0.16,7,automatic,hv,hv
2020-02-09T14:31:07.480Z,17.8705,-66.8551,11,2.68,md,11,230,0.1073,0.16,pr,pr2020040030,2020-02-09T22:33:41.619Z,"20km SSE of Guanica, Puerto Rico",earthquake,0.99,0.62,0.11,5,reviewed,pr,pr
2020-02-09T14:26:28.390Z,19.1968327,-155.4531708,32.79,2.2,md,24,164,0.06636,0.1,hv,hv71376647,2020-02-09T14:29:45.540Z,"2km ESE of Pahala, Hawaii",earthquake,0.67,0.96,0.34,4,automatic,hv,hv
2020-02-09T14:21:13.800Z,17.8428,-66.8455,5,3.04,md,11,236,0.1365,0.16,pr,pr2020040029,2020-02-09T22:24:05.706Z,"15km SSE of Guanica, Puerto Rico",earthquake,0.78,0.5,0.2,4,reviewed,pr,pr
2020-02-09T14:17:01.770Z,37.6361656,-119.0213318,4.53,1.11,md,11,94,0.002784,0.34,nc,nc73337646,2020-02-09T15:43:02.417Z,"4km W of Mammoth Lakes, CA",earthquake,1.23,3.21,0.37,11,automatic,nc,nc
2020-02-09T14:16:36.660Z,48.1146667,-113.982,8.81,1.67,ml,13,202,0.252,0.14,mb,mb80381214,2020-02-09T15:01:22.420Z,"8km NE of Bigfork, Montana",earthquake,1.26,0.78,0.374,2,reviewed,mb,mb
2020-02-09T14:11:04.620Z,17.8223,-66.8666,4,2.9,md,10,261,0.1533,0.11,pr,pr2020040027,2020-02-09T14:48:52.292Z,"17km SSE of Guanica, Puerto Rico",earthquake,0.88,0.62,0.16,3,reviewed,pr,pr
2020-02-09T14:06:43.950Z,19.2096672,-155.4648285,34.88,1.89,md,39,108,0.05024,0.11,hv,hv71376622,2020-02-09T14:09:53.550Z,"1km ENE of Pahala, Hawaii",earthquake,0.54,0.65,0.17,5,automatic,hv,hv
2020-02-09T13:58:55.950Z,35.1151667,-117.5463333,2.68,1.49,ml,16,119,0.2183,0.11,ci,ci39297192,2020-02-09T14:02:45.076Z,"16km NE of Boron, CA",earthquake,0.26,1.07,0.151,26,automatic,ci,ci
2020-02-09T13:33:52.580Z,17.7865,-66.898,3,2.71,md,10,248,0.1895,0.26,pr,pr2020040028,2020-02-09T15:13:45.415Z,"20km S of Guanica, Puerto Rico",earthquake,0.95,0.79,0.26,5,reviewed,pr,pr
2020-02-09T13:32:53.509Z,81.2458,-4.3015,10,5,mb,,31,3.642,0.5,us,us70007m2a,2020-02-09T14:42:38.040Z,"228km E of Nord, Greenland",earthquake,8.7,1.9,0.031,324,reviewed,us,us
2020-02-09T13:32:28.182Z,59.7638,-148.0439,13.2,3.5,ml,,,,0.67,ak,ak0201udffmn,2020-02-09T20:01:34.040Z,"89km ESE of Seward, Alaska",earthquake,,1,,,reviewed,ak,ak
2020-02-09T13:26:43.280Z,17.9278,-66.7065,10,2.43,md,5,225,0.1526,0.05,pr,pr2020040026,2020-02-09T13:53:30.137Z,"7km S of Tallaboa, Puerto Rico",earthquake,0.92,0.69,0.28,3,reviewed,pr,pr
2020-02-09T13:18:50.852Z,62.0668,-146.393,45.1,1.6,ml,,,,0.99,ak,ak0201udchbe,2020-02-09T13:24:13.945Z,"44km W of Glennallen, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-02-09T13:12:43.050Z,35.7363333,-117.5375,6.97,2.67,ml,28,58,0.09306,0.18,ci,ci39297176,2020-02-09T14:18:25.040Z,"12km WSW of Searles Valley, CA",earthquake,0.27,0.8,0.172,25,automatic,ci,ci
2020-02-09T13:12:22.980Z,17.9015,-66.6771,6,2.65,md,11,213,0.1581,0.12,pr,pr2020040024,2020-02-09T21:14:57.627Z,"11km SSE of Tallaboa, Puerto Rico",earthquake,0.64,0.44,0.21,4,reviewed,pr,pr
2020-02-09T13:00:06.240Z,17.903,-66.6775,5,2.53,md,11,212,0.1569,0.19,pr,pr2020040023,2020-02-09T13:54:32.712Z,"10km SSE of Tallaboa, Puerto Rico",earthquake,0.81,0.61,0.25,5,reviewed,pr,pr
2020-02-09T12:57:04.213Z,62.7834,-149.5657,26.8,1.8,ml,,,,0.73,ak,ak0201uczb50,2020-02-09T13:10:20.368Z,"58km NNE of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-02-09T12:52:49.470Z,19.2089996,-155.4573364,36.57,2.32,md,49,114,0.0535,0.14,hv,hv71376557,2020-02-09T12:55:59.120Z,"2km E of Pahala, Hawaii",earthquake,0.61,0.88,0.27,9,automatic,hv,hv
2020-02-09T12:46:11.691Z,63.3309,-145.4238,6.6,1.3,ml,,,,0.59,ak,ak0201ucwyuv,2020-02-09T12:54:26.520Z,"61km S of Deltana, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-02-09T12:40:47.080Z,17.874,-66.8855,12,2.61,md,11,245,0.1013,0.11,pr,pr2020040025,2020-02-09T13:54:00.890Z,"11km SSE of Guanica, Puerto Rico",earthquake,0.93,0.57,0.31,11,reviewed,pr,pr
2020-02-09T12:36:29.350Z,19.2006664,-155.420166,32.71,1.76,md,28,163,0.04244,0.14,hv,hv71376507,2020-02-09T12:39:46.970Z,"6km E of Pahala, Hawaii",earthquake,0.69,0.83,0.14,6,automatic,hv,hv
2020-02-09T12:36:04.270Z,33.4975,-116.4773333,14.12,0.88,ml,22,64,0.07477,0.18,ci,ci39297168,2020-02-09T12:39:46.618Z,"19km ESE of Anza, CA",earthquake,0.25,0.72,0.183,17,automatic,ci,ci
2020-02-09T12:31:38.190Z,19.1965008,-155.4686737,33.97,2.02,md,52,97,0.04134,0.15,hv,hv71376502,2020-02-09T12:35:03.050Z,"1km SE of Pahala, Hawaii",earthquake,0.55,0.81,0.15,19,automatic,hv,hv
2020-02-09T12:18:34.460Z,38.7861671,-122.7705002,1.7,0.56,md,8,109,0.01531,0.01,nc,nc73337571,2020-02-09T12:46:03.219Z,"2km NW of The Geysers, CA",earthquake,0.43,1.12,,1,automatic,nc,nc
2020-02-09T12:17:59.230Z,38.7856674,-122.7716675,1.48,1.15,md,17,93,0.01475,0.02,nc,nc73337566,2020-02-09T13:20:03.419Z,"2km NW of The Geysers, CA",earthquake,0.24,0.47,0.09,3,automatic,nc,nc
2020-02-09T12:09:08.450Z,35.6441667,-117.4893333,0.85,1.32,ml,15,82,0.1565,0.18,ci,ci39297152,2020-02-09T16:36:13.957Z,"16km SSW of Searles Valley, CA",earthquake,0.44,0.76,0.178,18,reviewed,ci,ci
2020-02-09T12:02:48.670Z,35.9596672,-120.5136642,4.53,0.64,md,12,122,0.01468,0.04,nc,nc73337556,2020-02-09T12:12:02.975Z,"10km NW of Parkfield, CA",earthquake,0.44,0.95,0.13,4,automatic,nc,nc
2020-02-09T11:58:26.570Z,46.9763333,-114.1755,9.92,1.21,ml,10,106,0.191,0.09,mb,mb80381209,2020-02-09T15:07:01.780Z,"5km SE of Frenchtown, Montana",earthquake,0.38,1.54,0.661,2,reviewed,mb,mb
2020-02-09T11:58:06.650Z,35.8998333,-117.6785,2.09,1.38,ml,16,81,0.05312,0.14,ci,ci39297144,2020-02-09T12:01:47.761Z,"21km E of Little Lake, CA",earthquake,0.24,0.43,0.17,18,automatic,ci,ci
2020-02-09T11:56:00.550Z,35.7126667,-117.5676667,2.1,2.54,ml,32,59,0.1057,0.2,ci,ci39297136,2020-02-09T12:07:01.350Z,"14km NE of Ridgecrest, CA",earthquake,0.29,0.6,0.201,26,automatic,ci,ci
2020-02-09T11:46:26.450Z,37.612999,-118.8499985,9.44,1.28,md,16,121,0.0119,0.02,nc,nc73337541,2020-02-09T12:37:03.126Z,"12km ESE of Mammoth Lakes, CA",earthquake,0.76,1.36,0.18,14,automatic,nc,nc
2020-02-09T11:34:28.950Z,38.7905006,-122.7838364,3.39,0.89,md,17,139,0.004163,0.02,nc,nc73337536,2020-02-09T12:11:02.967Z,"3km WNW of The Geysers, CA",earthquake,0.34,0.67,0.01,2,automatic,nc,nc
2020-02-09T11:32:59.470Z,19.2199993,-155.4036713,32.88,2.38,ml,57,146,0.01836,0.15,hv,hv71376437,2020-02-09T11:38:35.550Z,"8km ENE of Pahala, Hawaii",earthquake,0.53,0.7,3.54,4,automatic,hv,hv
2020-02-09T11:32:13.710Z,19.1779995,-155.4378357,34.83,2.31,ml,35,168,0.03212,0.12,hv,hv71376432,2020-02-09T11:37:49.520Z,"5km SE of Pahala, Hawaii",earthquake,0.74,1.08,4.29,6,automatic,hv,hv
2020-02-09T11:13:25.050Z,37.6241684,-118.8889999,3.2,1.25,md,9,179,0.02113,0.04,nc,nc73337531,2020-02-09T11:44:03.796Z,"8km E of Mammoth Lakes, CA",earthquake,1.19,1.35,0.19,11,automatic,nc,nc
